TEAM,DEF RTG,DEF RTG RANK
OKC,107.24,1
CLE,111.98,8
BOS,111.63,6
MIN,111.42,5
MEM,112.92,11
HOU,110.32,3
DEN,116.22,22
,110.57,4
NYK,114.41,14
GSW,111.95,7
MIL,112.57,10
DET,112.45,9
LAL,114.15,13
SAC,116.25,23
IND,114.77,15
DAL,116.01,20
PHX,118.01,26
SAS,116.57,25
MIA,113.67,12
ATL,115.36,17
ORL,109.9,2
POR,115.31,16
CHI,116.16,21
TOR,115.98,19
PHI,118.17,27
BKN,115.37,18
UTA,119.3,29
NOP,120.17,30
CHA,116.35,24
WAS,118.71,28
