Player,Team,PrizePick-Line,Match-1,Match-2,Match-3,Match-4,Match-5,Match-6,Match-7,Match-8,Match-9,Match-10,Average
tomiko ,Rebels,18,10,10,28,9,26,13,22,14,12,10,15.4
IceBerg(K),Sashi,25.5,22,22,23,17,17,27,19,30,32,30,23.9
IceBerg ,Sashi,14.5,14,13,16,9,10,14,11,23,21,17,14.8
Cabbi(K),Sashi,29.5,38,19,28,32,29,38,29,36,27,29,30.5
Cabbi ,Sashi,18,21,13,12,20,21,26,19,21,10,15,17.8
Lucky(K),Sashi,32,34,25,28,30,27,38,38,47,29,34,33
Lucky ,Sashi,15,15,10,13,15,10,13,23,16,13,11,13.9
Zyphon(K),Sashi,31.5,32,30,23,26,32,31,25,37,29,40,30.5
Zyphon ,Sashi,18,17,15,14,17,18,19,17,17,19,24,17.7
niko(K),Sashi,27,37,50,35,19,35,34,39,37,28,40,35.4
niko ,Sashi,15,17,28,15,9,16,22,17,26,16,21,18.7
beastik(K),SINNERS,27,31,40,27,24,20,12,16,47,36,16,26.9
beastik ,SINNERS,16.5,18,25,15,16,15,5,12,26,22,7,16.1
SHOCK(K),SINNERS,26.5,20,25,22,28,32,24,23,33,30,30,26.7
SHOCK ,SINNERS,15.5,12,18,11,13,22,16,14,19,18,17,16
Pepo(K),SINNERS,28.5,29,41,29,31,15,30,19,45,28,14,28.1
Pepo ,SINNERS,9.5,7,14,14,12,5,10,4,13,8,6,9.3
ZEDKO(K),SINNERS,30.5,38,32,35,23,30,28,35,53,24,27,32.5
ZEDKO ,SINNERS,17.5,20,18,17,15,17,19,22,30,17,20,19.5
MoriiSko(K),SINNERS,28.5,32,27,27,35,28,19,21,29,26,30,27.4
MoriiSko ,SINNERS,16,17,15,15,22,18,9,10,17,17,14,15.4
kyousuke(K),Spirit Academy,36,41,27,43,39,28,25,51,42,27,36,35.9
kyousuke ,Spirit Academy,20.5,17,7,24,22,17,16,31,23,17,21,19.5
alkarenn(K),Spirit Academy,31,36,23,26,42,25,18,40,31,35,34,31
alkarenn ,Spirit Academy,9.5,19,11,10,13,9,5,10,15,9,10,11.1
robo(K),Spirit Academy,28,30,25,25,34,23,20,37,20,31,21,26.6
robo ,Spirit Academy,14.5,15,18,16,15,7,14,17,10,18,12,14.2
syph0(K),Spirit Academy,27.5,29,15,29,35,21,14,39,24,25,28,25.9
syph0 ,Spirit Academy,16.5,22,10,19,21,14,14,26,15,17,14,17.2
Mokuj1n(K),Spirit Academy,28,39,13,30,23,17,18,28,21,27,25,24.1
Mokuj1n ,Spirit Academy,15,21,3,15,11,10,11,14,10,15,14,12.4
aVN(K),Zero Tenacity,25.5,26,32,9,24,26,16,37,19,25,24,23.8
aVN ,Zero Tenacity,14,17,16,2,12,18,7,22,14,17,15,14
brutmonster(K),Zero Tenacity,28.5,20,27,23,37,33,21,31,27,18,22,25.9
brutmonster ,Zero Tenacity,10,4,13,9,16,14,9,9,5,8,6,9.3
nEMANHA(K),Zero Tenacity,31,31,33,23,30,34,22,35,37,27,38,31
nEMANHA ,Zero Tenacity,18,12,21,10,17,21,13,25,21,17,20,17.7
simke(K),Zero Tenacity,31,29,43,21,23,42,23,40,36,24,26,30.7
simke ,Zero Tenacity,19,17,30,14,14,30,14,28,17,10,13,18.7
Cjoffo(K),Zero Tenacity,29.5,39,30,21,25,29,27,18,28,22,31,27
Cjoffo ,Zero Tenacity,17.5,23,15,14,18,17,20,7,14,12,25,16.5
